Device_ID,Test_Type,Stress_Temperature_C,Stress_Voltage_V,Failure_Time_Hours,Censored,Batch_ID
D0001,HTOL,125,4.5,624.7014079394503,0,B4
D0002,HTOL,125,4.5,992.238350682386,0,B4
D0003,HTOL,125,4.5,522.7483185015946,0,B3
D0004,HTOL,125,4.5,465.29007095427323,0,B2
D0005,HTOL,125,4.5,287.70822342193867,0,B2
D0006,HTOL,125,4.5,666.46257747974,0,B4
D0007,HTOL,125,4.5,703.9853204551994,0,B1
D0008,HTOL,125,4.5,1091.5026248642382,0,B1
D0009,HTOL,125,4.5,592.7953249199423,0,B2
D0010,HTOL,125,4.5,1434.5454033727792,0,B1
D0011,HTOL,125,4.5,1167.3246576647211,0,B3
D0012,HTOL,125,4.5,811.2504764075787,0,B4
D0013,HTOL,125,4.5,771.8364738088613,0,B1
D0014,HTOL,125,4.5,1264.3179483852596,0,B4
D0015,HTOL,125,4.5,660.9378963265343,0,B2
D0016,HTOL,125,4.5,911.223334448464,0,B2
D0017,HTOL,125,4.5,409.21226859290067,0,B1
D0018,HTOL,125,4.5,748.4609326399608,0,B3
D0019,HTOL,125,4.5,1683.734870374641,0,B2
D0020,HTOL,125,4.5,640.695547445401,0,B4
D0021,HTOL,125,4.5,1468.8325343967613,0,B1
D0022,HTOL,125,4.5,1413.578819282999,0,B3
D0023,HTOL,125,4.5,440.7860631257334,0,B2
D0024,HTOL,125,4.5,631.5991080308543,0,B3
D0025,HTOL,125,4.5,353.7743110391259,0,B3
D0026,HTOL,125,4.5,1195.7998263404495,0,B3
D0027,HTOL,125,4.5,311.6124606296684,0,B3
D0028,HTOL,125,4.5,1266.021815505039,0,B3
D0029,HTOL,125,4.5,1974.718801410018,0,B2
D0030,HTOL,125,4.5,443.1321569135487,0,B4
D0031,HTOL,125,4.5,1026.109328893895,0,B2
D0032,HTOL,125,4.5,1922.2011395465777,0,B3
D0033,HTOL,125,4.5,696.9859473344999,0,B3
D0034,HTOL,125,4.5,491.2366175346963,0,B1
D0035,HTOL,125,4.5,849.643332720956,0,B1
D0036,HTOL,125,4.5,531.3704402668794,0,B1
D0037,HTOL,125,4.5,1180.1337854124367,0,B2
D0038,HTOL,125,4.5,359.50927971632956,0,B4
D0039,HTOL,125,4.5,529.3471520691561,0,B2
D0040,HTOL,125,4.5,1051.36946794637,0,B1
D0041,HTOL,125,4.5,1033.2701674778789,0,B2
D0042,HTOL,125,4.5,918.81215900578,0,B3
D0043,HTOL,125,4.5,786.517403115209,0,B3
D0044,HTOL,125,4.5,722.6971911246546,0,B1
D0045,HTOL,125,4.5,825.8025365760882,0,B3
D0046,HTOL,125,4.5,1062.0225525717356,0,B2
D0047,HTOL,125,4.5,291.11116985113324,0,B2
D0048,HTOL,125,4.5,1188.4791385325627,0,B2
D0049,HTOL,125,4.5,929.3648243926507,0,B3
D0050,HTOL,125,4.5,645.8437755598483,0,B4
D0051,HTOL,125,4.5,425.906148452456,0,B4
D0052,HTOL,125,4.5,610.0704370957386,0,B3
D0053,HTOL,125,4.5,440.81196419493597,0,B1
D0054,HTOL,125,4.5,656.9550422229345,0,B2
D0055,HTOL,125,4.5,789.6375785581515,0,B2
D0056,HTOL,125,4.5,133.02775756914403,0,B1
D0057,HTOL,125,4.5,1402.5857206085152,0,B3
D0058,HTOL,125,4.5,915.9298909540374,0,B3
D0059,HTOL,125,4.5,1113.6689759004405,0,B2
D0060,HTOL,125,4.5,606.4512040884487,0,B4
D0061,HTOL,125,4.5,907.0103102787882,0,B4
D0062,HTOL,125,4.5,585.9043279318892,0,B3
D0063,HTOL,125,4.5,286.90948223702947,0,B2
D0064,HTOL,125,4.5,1597.9019175019403,0,B3
D0065,HTOL,125,4.5,557.0341179005495,0,B2
D0066,HTOL,125,4.5,488.6782827562279,0,B3
D0067,HTOL,125,4.5,204.09689912528648,0,B4
D0068,HTOL,125,4.5,623.7545315463142,0,B4
D0069,HTOL,125,4.5,691.7610415562674,0,B4
D0070,HTOL,125,4.5,973.0776243766877,0,B1
D0071,HTOL,125,4.5,726.8439347504782,0,B1
D0072,HTOL,125,4.5,395.5593644239828,0,B3
D0073,HTOL,125,4.5,1093.9357408968879,0,B2
D0074,HTOL,125,4.5,543.182605336668,0,B3
D0075,HTOL,125,4.5,1025.5823475916454,0,B2
D0076,HTOL,125,4.5,446.55569154867163,0,B1
D0077,HTOL,125,4.5,381.3713711445757,0,B1
D0078,HTOL,125,4.5,717.0451321218453,0,B4
D0079,HTOL,125,4.5,182.80106570041136,0,B1
D0080,HTOL,125,4.5,2000.0,1,B2
